Currency,Date,Open,High,Low,Close
CAD,23/08/2017,1.2565,1.2598,1.2551,1.2562
CAD,22/08/2017,1.2574,1.2595,1.2526,1.2565
CAD,21/08/2017,1.2575,1.2607,1.2565,1.2574
CAD,18/08/2017,1.2654,1.2691,1.2557,1.2585
CAD,16/08/2017,1.2711,1.2712,1.2589,1.2654
CAD,14/08/2017,1.2706,1.2778,1.2701,1.2756
CAD,11/08/2017,1.272,1.2753,1.2653,1.2677
CAD,10/08/2017,1.2703,1.2735,1.2673,1.272
CAD,09/08/2017,1.2676,1.2721,1.2656,1.2703
CAD,08/08/2017,1.268,1.2705,1.2651,1.2676
CAD,07/08/2017,1.2641,1.2715,1.263,1.268
CAD,04/08/2017,1.2567,1.2668,1.2556,1.2645
CAD,03/08/2017,1.2545,1.2619,1.2539,1.2567
CAD,02/08/2017,1.2533,1.2593,1.2522,1.2545
CAD,01/08/2017,1.2488,1.2547,1.2446,1.2533
CAD,31/07/2017,1.2442,1.2529,1.2433,1.2488
CAD,28/07/2017,1.2522,1.2576,1.242,1.2433
CAD,27/07/2017,1.2511,1.2546,1.2414,1.2522
CAD,26/07/2017,1.2504,1.2544,1.2495,1.2511
CAD,25/07/2017,1.2517,1.2533,1.2481,1.2504
CAD,24/07/2017,1.2539,1.2574,1.2484,1.2517
CAD,21/07/2017,1.2581,1.2609,1.2522,1.2539
CAD,20/07/2017,1.2598,1.2641,1.2541,1.2581
CAD,19/07/2017,1.2654,1.2657,1.2578,1.2598
CAD,18/07/2017,1.2679,1.2701,1.2581,1.2654
CAD,17/07/2017,1.2645,1.2689,1.2628,1.2679
CAD,14/07/2017,1.2737,1.2747,1.2644,1.2644
CAD,13/07/2017,1.2723,1.2771,1.2681,1.2737
CAD,12/07/2017,1.2929,1.2939,1.2696,1.2723
CAD,11/07/2017,1.2882,1.2944,1.2871,1.2929
CAD,10/07/2017,1.2884,1.2933,1.2872,1.2882
CAD,07/07/2017,1.2944,1.2994,1.286,1.2876
CAD,06/07/2017,1.2985,1.2989,1.2923,1.2944
CAD,05/07/2017,1.2999,1.3014,1.2913,1.2933
CAD,04/07/2017,1.2999,1.3014,1.2913,1.2933
CAD,03/07/2017,1.2968,1.3007,1.2965,1.2999
CAD,30/06/2017,1.3025,1.3031,1.2947,1.2964
CAD,29/06/2017,1.3049,1.3055,1.2987,1.3025
CAD,28/06/2017,1.3195,1.3204,1.3035,1.3049
CAD,27/06/2017,1.3244,1.3261,1.3174,1.3195
CAD,23/06/2017,1.3267,1.3278,1.3212,1.3244
CAD,22/06/2017,1.3336,1.3348,1.3208,1.3238
CAD,21/06/2017,1.327,1.3345,1.325,1.3336
CAD,20/06/2017,1.3219,1.3285,1.3204,1.327
CAD,19/06/2017,1.3219,1.3258,1.3191,1.3219
CAD,16/06/2017,1.3287,1.3292,1.321,1.3213
CAD,15/06/2017,1.3212,1.3308,1.3184,1.3287
CAD,14/06/2017,1.3238,1.3246,1.3165,1.3212
CAD,13/06/2017,1.3465,1.3466,1.3212,1.3238
CAD,12/06/2017,1.3455,1.347,1.343,1.3465
CAD,09/06/2017,1.3501,1.354,1.3423,1.347
CAD,08/06/2017,1.3513,1.3523,1.3485,1.3501
CAD,07/06/2017,1.3455,1.3526,1.3427,1.3513
CAD,06/06/2017,1.3476,1.3487,1.3443,1.3455
CAD,05/06/2017,1.3496,1.3501,1.3462,1.3476
CAD,02/06/2017,1.3499,1.3547,1.3481,1.3487
CAD,01/06/2017,1.3514,1.3523,1.3472,1.3499
CAD,31/05/2017,1.3466,1.3523,1.3437,1.3514
CAD,30/05/2017,1.3443,1.3506,1.3443,1.3466
CAD,29/05/2017,1.3466,1.3497,1.3433,1.3446
CAD,26/05/2017,1.3466,1.3497,1.3433,1.3446
CAD,25/05/2017,1.3469,1.3475,1.3388,1.3466
CAD,24/05/2017,1.3508,1.354,1.3431,1.3469
CAD,23/05/2017,1.3509,1.3516,1.3456,1.3508
CAD,22/05/2017,1.3518,1.3541,1.3485,1.3509
CAD,19/05/2017,1.3598,1.3633,1.3509,1.3511
CAD,18/05/2017,1.3611,1.3669,1.3582,1.3598
CAD,17/05/2017,1.3589,1.3642,1.3572,1.3611
CAD,16/05/2017,1.3646,1.3659,1.3583,1.3589
CAD,15/05/2017,1.3703,1.3723,1.3602,1.3646
CAD,12/05/2017,1.3703,1.3742,1.3666,1.371
CAD,11/05/2017,1.3659,1.377,1.3648,1.3703
CAD,09/05/2017,1.3743,1.3753,1.3649,1.3659
CAD,08/05/2017,1.3665,1.3734,1.3644,1.3712
CAD,05/05/2017,1.3736,1.3793,1.3643,1.3652
CAD,04/05/2017,1.3717,1.3752,1.368,1.3736
CAD,03/05/2017,1.3731,1.374,1.3685,1.3717
CAD,02/05/2017,1.3664,1.3758,1.365,1.3731
CAD,28/04/2017,1.3657,1.3687,1.3637,1.3664
CAD,27/04/2017,1.361,1.3671,1.353,1.3631
CAD,26/04/2017,1.3603,1.3619,1.3543,1.361
CAD,25/04/2017,1.3515,1.3626,1.3498,1.3603
CAD,24/04/2017,1.3488,1.3521,1.3411,1.3515
CAD,21/04/2017,1.3481,1.3525,1.3458,1.3498
CAD,20/04/2017,1.3465,1.35,1.3457,1.3481
CAD,19/04/2017,1.3393,1.3475,1.3374,1.3465
CAD,18/04/2017,1.3293,1.34,1.3285,1.3393
CAD,17/04/2017,1.3319,1.3326,1.3262,1.3293
CAD,13/04/2017,1.3287,1.3338,1.3285,1.3325
CAD,12/04/2017,1.3326,1.334,1.3254,1.3307
CAD,11/04/2017,1.3342,1.3357,1.331,1.3326
CAD,10/04/2017,1.3402,1.3426,1.3341,1.3342
CAD,07/04/2017,1.3414,1.3431,1.3342,1.3398
CAD,06/04/2017,1.3423,1.3451,1.3398,1.3414
CAD,05/04/2017,1.3414,1.3428,1.3379,1.3423
CAD,03/04/2017,1.3389,1.3456,1.3374,1.3414
CAD,31/03/2017,1.3294,1.3368,1.3285,1.3318
CAD,30/03/2017,1.3371,1.3371,1.3278,1.3294
CAD,29/03/2017,1.3367,1.3401,1.3356,1.3371
CAD,28/03/2017,1.3368,1.3414,1.3355,1.3367
CAD,27/03/2017,1.3371,1.3403,1.3321,1.3368
CAD,24/03/2017,1.3336,1.3386,1.3335,1.3378
CAD,23/03/2017,1.3335,1.3355,1.3316,1.3336
CAD,22/03/2017,1.3347,1.3409,1.3325,1.3335
CAD,21/03/2017,1.3355,1.3366,1.3265,1.3347
CAD,20/03/2017,1.3335,1.3373,1.3304,1.3355
CAD,17/03/2017,1.3329,1.3377,1.3304,1.335
CAD,16/03/2017,1.3465,1.3466,1.3277,1.3329
CAD,15/03/2017,1.3488,1.3494,1.3434,1.3465
CAD,14/03/2017,1.3439,1.3495,1.3439,1.3488
CAD,10/03/2017,1.3465,1.3476,1.3431,1.3439
CAD,09/03/2017,1.3493,1.3535,1.3483,1.3512
CAD,08/03/2017,1.3423,1.3436,1.3384,1.3414
CAD,07/03/2017,1.3423,1.3436,1.3384,1.3414
CAD,03/03/2017,1.3393,1.3437,1.3372,1.338
CAD,02/03/2017,1.3333,1.3397,1.3324,1.3393
CAD,01/03/2017,1.3278,1.3358,1.327,1.3333
CAD,28/02/2017,1.3116,1.3284,1.3115,1.3278
CAD,27/02/2017,1.3094,1.3123,1.3084,1.3116
CAD,23/02/2017,1.3112,1.3121,1.3057,1.3091
CAD,22/02/2017,1.3155,1.321,1.311,1.3188
CAD,20/02/2017,1.3098,1.3164,1.3097,1.3155
CAD,17/02/2017,1.3053,1.3126,1.3044,1.3096
CAD,16/02/2017,1.3087,1.3092,1.301,1.3053
CAD,15/02/2017,1.308,1.312,1.3056,1.3087
CAD,14/02/2017,1.3079,1.3107,1.3025,1.308
CAD,13/02/2017,1.3095,1.3121,1.3067,1.3079
CAD,10/02/2017,1.3116,1.3158,1.3063,1.3083
CAD,09/02/2017,1.316,1.3172,1.3095,1.3116
CAD,08/02/2017,1.3177,1.32,1.3139,1.316
CAD,07/02/2017,1.3115,1.3212,1.3075,1.3177
CAD,06/02/2017,1.3038,1.3135,1.3007,1.3115
CAD,03/02/2017,1.3026,1.3076,1.2993,1.3023
CAD,02/02/2017,1.3096,1.3102,1.2981,1.3026
CAD,01/02/2017,1.3038,1.3097,1.301,1.3096
CAD,31/01/2017,1.3098,1.3126,1.2969,1.3038
CAD,30/01/2017,1.3135,1.3169,1.3077,1.3098
CAD,27/01/2017,1.3135,1.3141,1.3122,1.3129
CAD,25/01/2017,1.3066,1.3131,1.3054,1.3094
CAD,23/01/2017,1.3325,1.3335,1.3268,1.3269
CAD,20/01/2017,1.3334,1.3388,1.3285,1.332
CAD,19/01/2017,1.322,1.3353,1.3208,1.3334
CAD,18/01/2017,1.3054,1.3236,1.3038,1.322
CAD,17/01/2017,1.3156,1.3189,1.3019,1.3054
CAD,16/01/2017,1.3124,1.3176,1.3104,1.3156
CAD,13/01/2017,1.3125,1.3168,1.3113,1.3114
CAD,12/01/2017,1.3189,1.3194,1.303,1.3125
CAD,11/01/2017,1.3208,1.3294,1.3184,1.3189
CAD,10/01/2017,1.3211,1.3257,1.3192,1.3208
CAD,09/01/2017,1.3258,1.3277,1.3197,1.3211
CAD,06/01/2017,1.3223,1.3268,1.3178,1.3237
CAD,05/01/2017,1.3299,1.3332,1.3192,1.3223
CAD,04/01/2017,1.3428,1.3457,1.3282,1.3299
CAD,03/01/2017,1.3433,1.3461,1.3399,1.3428
CAD,02/01/2017,1.3432,1.3455,1.3388,1.3433
CAD,29/12/2016,1.3574,1.3575,1.3481,1.3513
CAD,28/12/2016,1.3558,1.3599,1.3555,1.3574
CAD,27/12/2016,1.3507,1.3559,1.3506,1.3558
CAD,26/12/2016,1.3528,1.3544,1.3476,1.3507
CAD,23/12/2016,1.3492,1.3557,1.348,1.3533
CAD,22/12/2016,1.3412,1.352,1.3398,1.3492
CAD,21/12/2016,1.3367,1.3412,1.3358,1.3412
CAD,20/12/2016,1.3393,1.3434,1.336,1.3367
CAD,19/12/2016,1.3338,1.3405,1.3318,1.3393
CAD,16/12/2016,1.3359,1.3393,1.3319,1.3336
CAD,15/12/2016,1.3144,1.3417,1.3143,1.3359
CAD,14/12/2016,1.3119,1.3148,1.3082,1.3144
CAD,13/12/2016,1.3122,1.3147,1.3103,1.3119
CAD,12/12/2016,1.3154,1.3181,1.3109,1.3122
CAD,09/12/2016,1.322,1.322,1.3153,1.3179
CAD,08/12/2016,1.3245,1.3251,1.3196,1.322
CAD,07/12/2016,1.3283,1.3297,1.3233,1.3245
