Currency,Date,Open,High,Low,Close
="JPY",="20/02/2019",="110.52",="110.95",="110.49",="110.67",
="JPY",="18/02/2019",="110.56",="110.82",="110.45",="110.52",
="JPY",="15/02/2019",="110.59",="110.65",="110.26",="110.47",
="JPY",="14/02/2019",="110.89",="111.13",="110.5",="110.59",
="JPY",="13/02/2019",="110.52",="110.93",="110.43",="110.89",
="JPY",="12/02/2019",="110.45",="110.65",="110.35",="110.52",
="JPY",="11/02/2019",="109.74",="110.46",="109.69",="110.45",
="JPY",="08/02/2019",="109.79",="109.9",="109.65",="109.73",
="JPY",="07/02/2019",="109.75",="110.09",="109.61",="109.79",
="JPY",="06/02/2019",="109.92",="110.05",="109.56",="109.75",
="JPY",="05/02/2019",="109.91",="110.04",="109.78",="109.92",
="JPY",="01/02/2019",="108.82",="109.58",="108.73",="109.5",
="JPY",="31/01/2019",="109.52",="109.56",="108.5",="108.82",
="JPY",="30/01/2019",="109.38",="109.74",="109.21",="109.52",
="JPY",="29/01/2019",="109.26",="109.54",="109.13",="109.38",
="JPY",="28/01/2019",="109.54",="109.6",="109.16",="109.26",
="JPY",="25/01/2019",="109.68",="109.95",="109.46",="109.55",
="JPY",="24/01/2019",="109.46",="109.8",="109.42",="109.68",
="JPY",="23/01/2019",="109.32",="110",="109.15",="109.46",
="JPY",="22/01/2019",="109.64",="109.7",="109.29",="109.32",
="JPY",="21/01/2019",="109.75",="109.77",="109.48",="109.64",
="JPY",="18/01/2019",="108.98",="109.89",="108.93",="109.78",
="JPY",="17/01/2019",="108.97",="109.2",="108.69",="108.98",
="JPY",="16/01/2019",="108.62",="109",="108.37",="108.97",
="JPY",="15/01/2019",="108.18",="108.77",="108.14",="108.62",
="JPY",="14/01/2019",="108.48",="108.6",="107.99",="108.18",
="JPY",="11/01/2019",="108.39",="108.6",="108.15",="108.48",
="JPY",="10/01/2019",="108.32",="108.44",="107.77",="108.39",
="JPY",="09/01/2019",="108.59",="109",="108.05",="108.32",
="JPY",="08/01/2019",="108.61",="109.09",="108.44",="108.59",
="JPY",="07/01/2019",="108.53",="108.78",="108.02",="108.61",
="JPY",="04/01/2019",="108.03",="108.59",="107.4",="108.51",
="JPY",="03/01/2019",="109.44",="109.46",="104.87",="108.03",
="JPY",="02/01/2019",="109.73",="109.82",="108.71",="109.44",
="JPY",="01/01/2019",="109.66",="110.03",="109.56",="109.73",
="JPY",="31/12/2018",="110.43",="110.48",="109.65",="109.66",
="JPY",="28/12/2018",="110.62",="111.11",="110.15",="110.27",
="JPY",="27/12/2018",="110.96",="111.41",="110.51",="110.62",
="JPY",="26/12/2018",="110.25",="110.96",="110.08",="110.95",
="JPY",="24/12/2018",="110.37",="110.56",="110",="110.2",
="JPY",="21/12/2018",="111.17",="111.46",="110.81",="111.22",
="JPY",="20/12/2018",="112.2",="112.67",="111.02",="111.18",
="JPY",="19/12/2018",="112.59",="112.63",="112.09",="112.2",
="JPY",="18/12/2018",="112.8",="112.86",="112.25",="112.59",
