Currency,Date,Open,High,Low,Close
EUR,31/03/2008,1.5802,1.5896,1.5761,1.5788
EUR,28/03/2008,1.5781,1.5838,1.5742,1.5796
EUR,27/03/2008,1.5847,1.5848,1.5727,1.5779
EUR,26/03/2008,1.565,1.5859,1.5584,1.5846
EUR,25/03/2008,1.5423,1.5659,1.5408,1.5651
EUR,24/03/2008,1.5435,1.5455,1.5342,1.5423
EUR,20/03/2008,1.5427,1.5473,1.5405,1.5433
EUR,19/03/2008,1.5624,1.5784,1.5582,1.5625
EUR,18/03/2008,1.5729,1.5832,1.5619,1.5625
EUR,17/03/2008,1.5675,1.5904,1.5675,1.573
EUR,14/03/2008,1.5635,1.5687,1.5533,1.5674
EUR,13/03/2008,1.5551,1.5645,1.5522,1.5635
EUR,12/03/2008,1.5337,1.5571,1.5332,1.5551
EUR,11/03/2008,1.5343,1.5494,1.5283,1.5337
EUR,10/03/2008,1.5362,1.5404,1.5314,1.5344
EUR,07/03/2008,1.5382,1.5455,1.5315,1.5356
EUR,06/03/2008,1.5266,1.5394,1.5261,1.538
EUR,05/03/2008,1.5217,1.53,1.5146,1.5264
EUR,04/03/2008,1.5206,1.5249,1.5174,1.5216
EUR,03/03/2008,1.5194,1.5274,1.5158,1.5204
EUR,29/02/2008,1.5194,1.5239,1.5143,1.518
EUR,28/02/2008,1.512,1.5229,1.5074,1.5194
EUR,27/02/2008,1.4975,1.5144,1.4972,1.5121
EUR,26/02/2008,1.4828,1.4985,1.4778,1.4974
EUR,25/02/2008,1.4838,1.4844,1.4794,1.4829
EUR,22/02/2008,1.4813,1.4861,1.4789,1.4828
EUR,21/02/2008,1.4714,1.4838,1.4703,1.4814
EUR,20/02/2008,1.4727,1.4732,1.4615,1.4714
EUR,19/02/2008,1.4658,1.4757,1.4643,1.4725
EUR,18/02/2008,1.4679,1.469,1.4611,1.4657
EUR,15/02/2008,1.4643,1.4709,1.4632,1.4684
EUR,14/02/2008,1.4574,1.4647,1.4549,1.4643
EUR,13/02/2008,1.4583,1.4598,1.4532,1.4574
EUR,12/02/2008,1.452,1.4614,1.4497,1.4583
EUR,11/02/2008,1.4517,1.4577,1.4482,1.4518
EUR,08/02/2008,1.4487,1.4547,1.4452,1.4507
EUR,07/02/2008,1.4631,1.4652,1.444,1.4485
